0,処女,;漢の浪漫
1,肥大陰核,;オトコ、ふたなりでなくてもSEX系調教が可能。ただし射精は出来ない
9,雌雄可変,;自由に性別を変化させられる
	;性格系の素質
10,臆病,;ABL:従順が上げやすい。PALAM:反感が上がりにくい
11,反抗的,;コマンドを実行しにくい。売却の際に従順4以上必要。PALAM:恭順と欲情が上がりにくい
12,気丈,;コマンドを実行しにくい。気力の回復量が多め。売却の際に従順4以上必要
13,素直,;コマンドを実行しやすい。ABL:従順と奉仕精神が上げやすい。PALAM:恭順が上がりやすい
14,大人しい,;PALAM:反感が上がりにくい
15,生意気,;ABL:従順と奉仕精神が上げにくい。
16,プライド高い,;コマンドを実行しにくい。ABL:技巧と奉仕精神が上げにくい。PALAM:屈服が上がりにくい
17,プライド低い,;コマンドを実行しやすい。ABL:奉仕精神が上げやすい。PALAM:屈服が上がりやすい
18,ツンデレ,;反抗的を同時に持つ場合、従順4以上で反抗的→素直に変更
19,嫉妬しやすい,;通常の人よりも嫉妬心に駆られやすい。好感度と嫉妬度に応じてPALAM:恭順と反感の上がりやすさが変動する
	;性への関心系の素質
20,自制心,;売却の際に欲望4以上必要。ABL:奉仕精神が上げにくい。快楽系PALAMが上がりにくい
21,無関心,:ABL:奉仕精神が上げにくい。PALAM:恭順、欲情、屈服、恐怖、反感が上がりにくい
22,感情乏しい,:ABL:奉仕精神が上げにくい。PALAMが全体的に上がりにくい
23,好奇心,;コマンドを実行しやすい。PALAM:習得が上がりやすい
24,保守的,;コマンドを実行しにくい。ABL:奉仕精神が上げにくい。PALAM:習得が上がりにくい
25,楽観的,;ABL:奉仕精神が上げやすい。PALAM:抑鬱が上がりにくい
26,悲観的,;ABL:奉仕精神が上げやすい。PALAM:抑鬱が上がりやすい
27,一線越えない,;全てのABLが上げにくい
28,目立ちたがり,;コマンドを実行しやすい。ABL:奉仕精神と露出癖が上げやすい
	;心系の素質
30,貞操観念,;情愛系調教の効果が低い。PALAM:反感が上がりやすい
31,貞操無頓着,;情愛系調教の効果が低い。PALAM:反感が上がりにくい
32,抑圧,;コマンドを実行しにくい。売却の際に欲望4以上必要。PALAM:欲情が上がりにくい。PALAM:反感が上がりやすい
33,解放,;ABL:マゾっ気が上げやすい。PALAM:欲情と屈服が上がりやすい
34,抵抗,;コマンドを実行しにくい。売却の際に欲望4以上必要。PALAM:欲情が上がりにくい。PALAM:反感が上がりやすい
35,恥じらい,;コマンドを実行しにくい。露出系調教の効果が高い
36,恥薄い,;露出系調教の効果が低い
37,男嫌い,;オトコによる調教が実行しにくい
38,女嫌い,;オトコ以外による調教が実行しにくい
39,弱味,;コマンドを実行しやすい
	;体質系の素質
40,痛みに弱い,;PALAM:恐怖と反感が上がりやすい。ABL:マゾっ気があるとSM系調教でPALAM:欲情が上がりやすい
41,痛みに強い,;PALAM:恐怖と反感が上がりにくい
42,濡れやすい,;PALAM:潤滑が上がりやすい
43,濡れにくい,;PALAM:潤滑が上がりにくい
44,薬毒耐性,;コマンド「媚薬」が実行不可
45,おもらし癖,;放尿コマンドが常に使えるようになる。絶頂時に放尿。
46,媚薬中毒,;媚薬使用による気力、体力消費軽減＋媚薬効果増大。ただし7日毎に媚薬を使わないと……
47,喘息,;喘息持ち。息が切れやすいので体力の消耗が大きく、歌うのも不利である
48,呪精,;死亡時に蘇生。ペナルティが多い
49,蓬莱人,;死亡時に蘇生。体力回復量が多い
	;技術系の素質
50,習得早い,;ABL:奉仕精神が上げやすい。PALAM:習得が上がりやすい
51,習得遅い,;ABL:奉仕精神が上げにくい。PALAM:習得が上がりにくい
52,舌使い,;フェラ系調教の効果が高い
53,針さばき,;コマンド「針」の効果が高い
54,猫舌,;フェラ系調教が実行不可
55,調合知識,;特殊なアイテムを購入できる。コマンド「媚薬」の体力と気力の消費が少ない
56,禁断の知識,;特殊なアイテムやコマンドを実行できる
57,妖精知識,;妖精の身体を知り尽くしている。調教者の時かつ相手が妖精の場合PALAMが色々上がりやすい
58,淫具知識,;大人のオモチャの扱いを熟知している。道具を使ったコマンドの効果が上昇する
59,治療,;主人か助手の時に体力回復量上昇
	;潔癖度系の素質
60,自慰しやすい,;自慰関連が実行しやすい。ABL:自慰中毒が上げやすい
61,汚臭鈍感,;フェラ系調教を実行しやすい。ABL:精液中毒が上げやすい
62,汚臭敏感,;フェラ系調教を実行しにくい。ABL:精液中毒が上げにくい
63,献身的,;奉仕系調教を実行しやすい。ABL:奉仕精神が上げやすい。PALAM:屈服が上がりやすい
64,汚れ無視,;調教者の時に汚れによるペナルティをうけない
65,パイパン,;陰毛を完全に剃られた、または脱毛させてツルツルな状態。PALAM:恥情・屈服・抑鬱が上がりやすい他、条件次第で苦痛・不快も常時若干入る様に
66,精愛味覚,;精液を飲むだけで絶頂してしまう体質。ABL:精液中毒が上げやすい
	;正直度系の素質
70,快感に素直,;コマンドを実行しやすい。ABL:欲望と奉仕精神が上げやすい。PALAM:欲情が上がりやすい
71,快感の否定,;コマンドを実行しにくい。PALAM:欲情が上がりにくい
	;性愛性系の素質
80,倒錯的,;SM系調教の効果が高い。ABLが全体的に上がりやすい
